Job Title,Company,Location,Job Link
Hardware Board Level test EngineerHardware Board Level test Engineer with verification,Wipro,"Santa Clara, CA (On-site)",https://linkedin.com/jobs/view/3978165932/
Physics TutorPhysics Tutor,"THE BAY AREA TUTORING CENTERS, INC.","San Ramon, CA (On-site)",https://linkedin.com/jobs/view/3964940875/
RF/Antenna Test Engineer requirementRF/Antenna Test Engineer requirement with verification,Tata Consultancy Services,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3976321437/
Silicon Verification EngineerSilicon Verification Engineer,AllSTEM Connections,United States (Remote),https://linkedin.com/jobs/view/3982215309/
Systems Test Engineer #141Systems Test Engineer #141 with verification,"AEye, Inc.","Dublin, CA (Hybrid)",https://linkedin.com/jobs/view/3943553366/
Laser Applications EngineerLaser Applications Engineer,Turner Laser Systems,"Fremont, CA (On-site)",https://linkedin.com/jobs/view/3840538952/
Validation Engineer - Open ApplicationsValidation Engineer - Open Applications with verification,PSC Biotech Corporation,"San Francisco, CA (On-site)",https://linkedin.com/jobs/view/3906317091/
"Staff, Design for Test Engineer (DFT)Staff, Design for Test Engineer (DFT)",Tenstorrent,"Santa Clara, CA (Remote)",https://linkedin.com/jobs/view/3884946151/
Telephony TesterTelephony Tester with verification,HCLTech,"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3949701765/
Test Equipment EngineerTest Equipment Engineer with verification,Wipro,San Francisco Bay Area (On-site),https://linkedin.com/jobs/view/3964638303/
Hardware Test EngineerHardware Test Engineer,Evolve Esolutions LLC,"Santa Rosa, CA (On-site)",https://linkedin.com/jobs/view/3996014144/
IC Validation Test TechnicianIC Validation Test Technician,Efabless Corporation,"San Carlos, CA (On-site)",https://linkedin.com/jobs/view/3838555814/
ATE Test EngineerATE Test Engineer with verification,Wipro,"Santa Clara, CA (On-site)",https://linkedin.com/jobs/view/3964635300/
ATE Test EngineerATE Test Engineer with verification,Wipro,"Santa Clara, CA (On-site)",https://linkedin.com/jobs/view/3976453302/
Senior Systems EngineerSenior Systems Engineer with verification,PDF Solutions,"Milpitas, CA (Hybrid)",https://linkedin.com/jobs/view/3960694929/
DFT EngineerDFT Engineer with verification,Meta,"Sunnyvale, CA",https://linkedin.com/jobs/view/3987831135/
Pre-Silicon Validation EngineerPre-Silicon Validation Engineer with verification,Axiom Global Technologies,"Mountain View, CA (Hybrid)",https://linkedin.com/jobs/view/3745518275/
Test EngineerTest Engineer with verification,Tata Consultancy Services,"Santa Clara, CA (On-site)",https://linkedin.com/jobs/view/3972806334/
Platform System Validation EngineerPlatform System Validation Engineer with verification,Zoox,"Foster City, CA (Hybrid)",https://linkedin.com/jobs/view/3595928506/
Telephony Device Test EngineerTelephony Device Test Engineer with verification,HCLTech,"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3949747152/
RF Test Technician (Associate Level)RF Test Technician (Associate Level) with verification,Kratos Defense and Security Solutions,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3924490134/
"Principal Engineer, Test DevelopmentPrincipal Engineer, Test Development with verification",Marvell Technology,"Santa Clara, CA",https://linkedin.com/jobs/view/3914886051/
Test EngineerTest Engineer,Teradyne,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3884607834/
Sr. Application EngineerSr. Application Engineer,Richtek,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3980035543/
Validation Engineer - PowerValidation Engineer - Power,Intelliswift Software,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3975037226/
"Principal Engineer, Test DevelopmentPrincipal Engineer, Test Development with verification",Marvell Technology,"Santa Clara, CA",https://linkedin.com/jobs/view/3914886051/
Test EngineerTest Engineer,Teradyne,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3884607834/
Sr. Application EngineerSr. Application Engineer,Richtek,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3980035543/
Validation Engineer - PowerValidation Engineer - Power,Intelliswift Software,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3975037226/
Senior Test Engineer (Mechanical/Electro-mechanical)Senior Test Engineer (Mechanical/Electro-mechanical) with verification,Joby Aviation,"San Carlos, CA (On-site)",https://linkedin.com/jobs/view/3841801609/
Test Efficiency Engineer - Quality and Efficiency (San Jose)Test Efficiency Engineer - Quality and Efficiency (San Jose) with verification,TikTok,"San Jose, CA",https://linkedin.com/jobs/view/3928785909/
Test Engineer 2Test Engineer 2 with verification,"Skyworks Solutions, Inc.","San Jose, CA",https://linkedin.com/jobs/view/3941354292/
Modem Test EngineerModem Test Engineer with verification,HCLTech,"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3983707624/
Memory ATE Test EngineerMemory ATE Test Engineer,Western Digital,"Milpitas, CA (On-site)",https://linkedin.com/jobs/view/3958101326/
"WiFi Validation Engineer, eeroWiFi Validation Engineer, eero with verification",Amazon,"Los Gatos, CA",https://linkedin.com/jobs/view/3985079371/
Lead Engineer - Hardware Test & ValidationLead Engineer - Hardware Test & Validation with verification,Micron Technology,"San Jose, CA",https://linkedin.com/jobs/view/3829725641/
Manufacturing Test EngineerManufacturing Test Engineer with verification,Amazon,"San Francisco, CA",https://linkedin.com/jobs/view/3979722581/
Optical Test EngineerOptical Test Engineer with verification,Molex,"Fremont, CA (On-site)",https://linkedin.com/jobs/view/3906280583/
ATE Test Development EngineerATE Test Development Engineer with verification,NVIDIA,"Santa Clara, CA",https://linkedin.com/jobs/view/3995214594/
Hardware EngineerHardware Engineer,Facebook,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3988631597/
Sr. ATE Test EngineerSr. ATE Test Engineer,Alphawave Semi,"San Jose, CA (Hybrid)",https://linkedin.com/jobs/view/3905863370/
Hardware Validation EngineerHardware Validation Engineer with verification,Insight Global,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3993624133/
"Senior Engineer, SSD TestSenior Engineer, SSD Test with verification",Samsung Semiconductor,"San Jose, CA (Hybrid)",https://linkedin.com/jobs/view/3984475974/
Embedded Test EngineerEmbedded Test Engineer with verification,Wipro,"Santa Clara, CA (On-site)",https://linkedin.com/jobs/view/3988059258/
"Senior Engineer, Test Engineering – Equipment EngineerSenior Engineer, Test Engineering – Equipment Engineer with verification",Marvell Technology,"Santa Clara, CA",https://linkedin.com/jobs/view/3964875759/
RF Test Technician (Intermediate Level)RF Test Technician (Intermediate Level) with verification,Kratos Defense and Security Solutions,"San Jose, CA (On-site)",https://linkedin.com/jobs/view/3836597350/
"WiFi Validation Engineer, eeroWiFi Validation Engineer, eero with verification",Amazon,"Los Gatos, CA",https://linkedin.com/jobs/view/3918987802/
Aftertreatment Systems Technology EngineerAftertreatment Systems Technology Engineer with verification,Ford Motor Company,United States (Remote),https://linkedin.com/jobs/view/3897084696/
"Test Rack Technician, HardwareTest Rack Technician, Hardware with verification",Square,"Oakland, CA",https://linkedin.com/jobs/view/3926972100/
Power Systems Validation EngineerPower Systems Validation Engineer with verification,Zoox,"Foster City, CA (Hybrid)",https://linkedin.com/jobs/view/3804739607/
Senior RF Test EngineerSenior RF Test Engineer with verification,Astranis Space Technologies,"San Francisco, CA (On-site)",https://linkedin.com/jobs/view/3927524945/
Lead Test Equipment Engineering (PowerTrain and Electronics)Lead Test Equipment Engineering (PowerTrain and Electronics) with verification,Joby Aviation,"San Carlos, CA (On-site)",https://linkedin.com/jobs/view/3917119730/
RF Integration & Test EngineerRF Integration & Test Engineer with verification,E-Space,"Saratoga, CA (On-site)",https://linkedin.com/jobs/view/3978767471/
Senior PIC Test Development EngineerSenior PIC Test Development Engineer with verification,Infinera,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3981625590/
DfT Verification EngineerDfT Verification Engineer with verification,Oho Group Ltd,"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3864166405/
Application EngineerApplication Engineer with verification,Supermicro,"San Jose, CA",https://linkedin.com/jobs/view/3988447647/
Senior/Staff PIC Test Development EngineerSenior/Staff PIC Test Development Engineer with verification,Infinera,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3319535587/
"Staff Wireless Cross-Device Experience Engineer, PixelStaff Wireless Cross-Device Experience Engineer, Pixel with verification",Google,"Mountain View, CA (On-site)",https://linkedin.com/jobs/view/3983342587/
Principal Verification Engineer - Random Test GeneratorsPrincipal Verification Engineer - Random Test Generators with verification,NVIDIA,"Santa Clara, CA",https://linkedin.com/jobs/view/3953949601/
Senior Application Engineer - Neural Network experience neededSenior Application Engineer - Neural Network experience needed with verification,Hudson RPO,United States (Remote),https://linkedin.com/jobs/view/3984659260/
Emulation EngineerEmulation Engineer with verification,Wipro,"Sunnyvale, CA (On-site)",https://linkedin.com/jobs/view/3983103215/
Sr. Principal Metrology EngineerSr. Principal Metrology Engineer,Scientific Search,"South San Francisco, CA (On-site)",https://linkedin.com/jobs/view/3984568007/
